epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3289,1.60975,3.23076,1.78338,0.00316,0.94737,0.01648,0.00656,1.56641,4.06962,1.84714,8e-05,8e-05,8e-05
2,64.9667,1.32899,2.85271,1.54008,0.00333,1,0.66037,0.35735,1.35911,3.68377,1.55314,0.00017109,0.00017109,0.00017109
3,96.7919,1.28653,2.50774,1.47307,0.00333,1,0.84623,0.42346,1.38051,3.63571,1.54318,0.00025228,0.00025228,0.00025228
4,127.128,1.35323,2.2703,1.57192,0.00333,1,0.94991,0.54748,1.20128,3.46567,1.33844,0.00032357,0.00032357,0.00032357
5,156.947,1.24527,1.93479,1.42073,0.13542,1,0.87086,0.42379,1.26815,3.29311,1.41776,0.00038496,0.00038496,0.00038496
6,187.134,1.23936,1.77291,1.4437,0.94233,0.86069,0.95975,0.57047,1.23633,3.1752,1.31508,0.00043645,0.00043645,0.00043645
7,216.077,1.21762,1.73291,1.43322,0.49828,0.94737,0.9299,0.51107,1.29459,3.27872,1.30011,0.00047804,0.00047804,0.00047804
8,245.391,1.23909,1.77915,1.35493,1,0.55722,0.90727,0.48188,1.37302,3.14214,1.39855,0.00050973,0.00050973,0.00050973
9,274.302,1.22026,1.58141,1.37405,0.94263,0.84211,0.96147,0.5072,1.43865,2.9713,1.56742,0.00053152,0.00053152,0.00053152
10,302.863,1.2439,1.57986,1.36502,0.94032,0.8299,0.94841,0.52855,1.37563,2.96395,1.56622,0.00054341,0.00054341,0.00054341
11,331.503,1.17694,1.86049,1.45233,1,0.70706,0.92876,0.51706,1.34749,3.17232,1.46947,0.0005454,0.0005454,0.0005454
12,359.831,1.12793,1.90028,1.38884,1,0.48206,0.90763,0.54094,1.2765,3.09782,1.39854,0.00053749,0.00053749,0.00053749
13,388.603,1.02936,1.76106,1.2303,1,0.56698,0.91586,0.54355,1.25949,3.01027,1.3652,0.00051968,0.00051968,0.00051968
14,416.993,0.96072,1.67255,1.1702,1,0.61376,0.94814,0.59651,1.30534,2.96297,1.30789,0.00049197,0.00049197,0.00049197
15,446.684,0.95348,1.62982,1.2101,0.95552,0.63158,0.95198,0.57511,1.37768,2.89057,1.37621,0.00045436,0.00045436,0.00045436
16,475.787,0.94398,1.61246,1.19924,0.95552,0.63158,0.92954,0.56149,1.37705,2.87489,1.39104,0.00040685,0.00040685,0.00040685
17,504.384,0.91319,1.54529,1.12088,0.9398,0.82247,0.9623,0.63984,1.27909,2.72413,1.3425,0.00034944,0.00034944,0.00034944
18,533.433,0.94151,1.52566,1.17947,0.94298,0.87112,0.9875,0.66443,1.24563,2.58988,1.32621,0.00028213,0.00028213,0.00028213
19,562.007,0.87488,1.44813,1.20188,0.94481,0.90132,0.982,0.65826,1.2828,2.46022,1.32046,0.00020492,0.00020492,0.00020492
20,590.535,0.91388,1.491,1.15238,0.94729,0.94591,0.982,0.63124,1.33852,2.26946,1.30764,0.00011781,0.00011781,0.00011781
