epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3931,1.71946,3.98508,1.94332,0.00316,0.94737,0.04127,0.01447,1.60208,3.94357,1.89145,8e-05,8e-05,8e-05
2,66.667,1.37445,3.5021,1.68283,0.00316,0.94737,0.57796,0.26263,1.34784,3.76739,1.57957,0.00016218,0.00016218,0.00016218
3,97.1807,1.27319,3.0609,1.48476,0.00333,1,0.79995,0.40901,1.30102,3.65277,1.44394,0.00022456,0.00022456,0.00022456
4,126.848,1.12987,2.43178,1.38319,0.00333,1,0.8563,0.43425,1.21837,3.53844,1.38931,0.00026714,0.00026714,0.00026714
5,157.4,1.1588,2.25709,1.38571,0.00333,1,0.9346,0.51394,1.20054,3.38544,1.36257,0.00028992,0.00028992,0.00028992
6,187.149,1.15647,2.06425,1.42152,0.00333,1,0.86121,0.43184,1.24482,3.47698,1.44731,0.0002929,0.0002929,0.0002929
7,216.886,1.07565,1.96845,1.31815,0.00333,1,0.92423,0.58111,1.14576,3.28646,1.24982,0.00027608,0.00027608,0.00027608
8,246.712,1.08464,2.01328,1.32512,0.00333,1,0.94046,0.61215,1.12944,3.23818,1.25869,0.00023946,0.00023946,0.00023946
9,277.131,1.03606,1.83824,1.29391,0.92561,0.89474,0.95679,0.55774,1.21294,3.20803,1.29333,0.00018304,0.00018304,0.00018304
10,306.826,1.06079,1.73685,1.23416,0.94151,0.84741,0.95969,0.58289,1.21355,3.17039,1.30156,0.00010682,0.00010682,0.00010682
